"","firsts","seconds","cvs","dampratio","temp","codNames","mean_age","sd_age","mode","cvs_mode"
"1",1.07055086668112,0.722501573409017,0.359783889892296,1.48172807656305,8.4,"Northsea",5.60734126055483,2.01743105067599,5,0.403486210135197
"2",0.885766581412765,0.655173736352712,0.348275301326215,1.35195678987949,7.13,"Coas",7.22043359544332,2.51469868615895,6,0.419116447693159
"3",0.944835228663227,0.605273144468763,0.432975214641915,1.56100636100829,7,"W_Baltic",5.85264914209483,2.53405201852233,5,0.506810403704466
"4",1.07379285729038,0.612174793709109,0.414180378441797,1.75406251339486,7.4,"Faroe",5.47346074750859,2.26700004378943,4,0.566750010947357
"5",1.00446270089909,0.853811591039859,0.315853853797014,1.17644537909793,4,"NE_Arctic",10.4080622960865,3.28742658677832,9,0.365269620753147
"6",1.08665642398179,0.53266667280754,0.3963175136817,2.04003080998916,11.9,"Celtic",3.77306958555448,1.49533355709499,3,0.498444519031664
"7",0.984774076389807,0.808760104273251,0.320421429680365,1.21763434074771,5.8,"Iceland",8.73821542125684,2.79991147813413,8,0.349988934766766
"8",0.955227297653795,0.614921904254276,0.44914540221546,1.55341237813314,6.5,"Kat",5.89865737566902,2.64935483952605,4,0.662338709881513
"9",0.8916947188149,0.515702109124413,0.429737806037946,1.72908875693541,9.57,"W_Scotland",4.67696568762037,2.00986897351273,3,0.669956324504244
"10",1.2494941761164,0.961446115513381,0.437729934260235,1.29959875645159,1,"NGulf",11.062075131354,4.84220142002935,8,0.605275177503669
"11",1.1198214438462,0.577703495490411,0.449364436714538,1.93840171054459,8,"GB",5.04747252232433,2.26815464682638,4,0.567038661706595
"12",1.09752032619776,0.593116034702675,0.437828001170085,1.85043104887214,8,"GM",5.4605967135128,2.39080214427325,4,0.597700536068311
"13",1.17731095601338,0.969159850578141,0.388692889896673,1.21477479211615,1.75,"3NO",11.2514684687301,4.37336579469202,8,0.546670724336502
"14",1.0555877388104,0.758614036913595,0.409071806817161,1.39146876731286,3.5,"3M",8.44211994201546,3.45343325804745,7,0.493347608292492
"15",1.22846310973873,1.00356749057391,0.45233364955848,1.22409615823267,0,"2J3KL",12.1467914388715,5.49440250197044,8,0.686800312746305
"16",1.10556880817574,0.90631656717523,0.36402932187768,1.21984839317406,2.5,"3Ps",9.97994857319769,3.63299391147528,8,0.45412423893441
