"","firsts","seconds","cvs","dampratio","temp","codNames","mode","sd_mode","cvs_mode"
"1",1.00030730280899,0.668871281285066,0.359783889892296,1.49551540153908,8.4,"Northsea",5,1.87336688077507,0.374673376155014
"2",1.00188200520639,0.749312684731656,0.359783889892296,1.33706798993425,7.13,"Coas",6,2.396310955173,0.3993851591955
"3",0.999913266332264,0.614611341392773,0.359783889892296,1.62690337615046,7,"W_Baltic",5,2.32414580501969,0.464829161003937
"4",0.999819929459771,0.592696164632913,0.359783889892296,1.68690129803524,7.4,"Faroe",4,2.36639114274024,0.591597785685059
"5",0.995307788752374,0.845039049477541,0.359783889892296,1.17782460984228,4,"NE_Arctic",9,2.98580573278891,0.331756192532101
"6",0.995804430279352,0.48403496072032,0.359783889892296,2.05729856537106,11.9,"Celtic",3,1.54003286732325,0.51334428910775
"7",0.996618260332014,0.818794609571542,0.359783889892296,1.21717735886601,5.8,"Iceland",8,2.42830435741071,0.303538044676339
"8",0.999408383356986,0.619224623142734,0.359783889892296,1.61396744574645,6.5,"Kat",4,2.81911279955733,0.704778199889333
"9",0.999298618334771,0.525833300805531,0.359783889892296,1.9004095343599,9.57,"W_Scotland",3,2.38465713493763,0.794885711645876
"10",0.999009208201254,0.812772522698234,0.359783889892296,1.2291375265551,1,"NGulf",8,4.50708353732941,0.563385442166177
"11",1.00093300214387,0.567105642656339,0.359783889892296,1.76498508717966,8,"GB",4,2.21934960742361,0.554837401855903
"12",1.00051665844429,0.582044140237697,0.359783889892296,1.7189704169785,8,"GM",4,2.42541504424901,0.606353761062253
"13",0.999506696701691,0.811488574402118,0.359783889892296,1.23169534141389,1.75,"3NO",8,4.31603157338587,0.539503946673234
"14",0.996510902665252,0.734146985183714,0.359783889892296,1.35737246461059,3.5,"3M",7,3.06545811379213,0.437922587684589
"15",0.999513233010959,0.842212681699513,0.359783889892296,1.18677058031711,0,"2J3KL",8,5.27272194218511,0.659090242773139
"16",1.00285734010681,0.800592897609058,0.359783889892296,1.25264331360147,2.5,"3Ps",8,3.31718680605806,0.414648350757258
