"","firsts","seconds","cvs","dampratio","temp","codNames","mean_age","sd_age","mode","sd_mode","cvs_mode"
"1",1.00030730280899,0.668871281285066,0.359783889892296,1.49551540153908,8.4,"Northsea",5.60734126055483,2.01743105067599,5,2.10686768711373,0.421373537422745
"2",1.00188200520639,0.749312684731656,0.348275301326215,1.33706798993425,7.13,"Coas",7.22043359544332,2.51469868615895,6,2.79520440094392,0.46586740015732
"3",0.999913266332264,0.614611341392773,0.432975214641915,1.62690337615046,7,"W_Baltic",5.85264914209483,2.53405201852233,5,2.67365483787495,0.534730967574991
"4",0.999819929459771,0.592696164632913,0.414180378441797,1.68690129803524,7.4,"Faroe",5.47346074750859,2.26700004378943,4,2.70377065835656,0.67594266458914
"5",0.995307788752374,0.845039049477541,0.315853853797014,1.17782460984228,4,"NE_Arctic",10.4080622960865,3.28742658677832,9,3.57628480313263,0.397364978125848
"6",0.995804430279352,0.48403496072032,0.3963175136817,2.05729856537106,11.9,"Celtic",3.77306958555448,1.49533355709499,3,1.68334756692839,0.561115855642797
"7",0.996618260332014,0.818794609571542,0.320421429680365,1.21717735886601,5.8,"Iceland",8.73821542125684,2.79991147813413,8,2.89559429022241,0.361949286277802
"8",0.999408383356986,0.619224623142734,0.44914540221546,1.61396744574645,6.5,"Kat",5.89865737566902,2.64935483952605,4,3.25944487542012,0.814861218855029
"9",0.999298618334771,0.525833300805531,0.429737806037946,1.9004095343599,9.57,"W_Scotland",4.67696568762037,2.00986897351273,3,2.61759187195888,0.872530623986293
"10",0.999009208201254,0.812772522698234,0.437729934260235,1.2291375265551,1,"NGulf",11.062075131354,4.84220142002935,8,5.72915514733112,0.71614439341639
"11",1.00093300214387,0.567105642656339,0.449364436714538,1.76498508717966,8,"GB",5.04747252232433,2.26815464682638,4,2.49834428911321,0.624586072278303
"12",1.00051665844429,0.582044140237697,0.437828001170085,1.7189704169785,8,"GM",5.4605967135128,2.39080214427325,4,2.8016562338349,0.700414058458724
"13",0.999506696701691,0.811488574402118,0.388692889896673,1.23169534141389,1.75,"3NO",11.2514684687301,4.37336579469202,8,5.44962159946252,0.681202699932816
"14",0.996510902665252,0.734146985183714,0.409071806817161,1.35737246461059,3.5,"3M",8.44211994201546,3.45343325804745,7,3.74244722006161,0.534635317151658
"15",0.999513233010959,0.842212681699513,0.45233364955848,1.18677058031711,0,"2J3KL",12.1467914388715,5.49440250197044,8,6.88362826503268,0.860453533129085
"16",1.00285734010681,0.800592897609058,0.36402932187768,1.25264331360147,2.5,"3Ps",9.97994857319769,3.63299391147528,8,4.13749212849088,0.51718651606136
