"","F.halfmax","Northsea","Coas","W_Baltic","Faroe","NE_Arctic","Celtic","Iceland","Kat","W_Scotland","NGulf","GB","GM","3NO","3M","2J3KL","3Ps"
"1",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2",0.01,0.985128340789181,0.985010916766477,0.976636422416553,0.979884408301964,0.985075187602386,0.988328946587963,0.982832327891688,0.977550830794932,0.983222637517291,0.968918753892695,0.976487053279752,0.975254599061641,0.976661428335745,0.985809622029774,0.961431959748887,0.974613727184448
"3",0.02,0.970671434667194,0.970400063487962,0.954126975438553,0.96044353206891,0.970510405256569,0.976941543229602,0.966218684130494,0.955829209193382,0.966888495775228,0.939239264473413,0.95384015115724,0.951471468342746,0.954131447086064,0.971898950640377,0.925168257817581,0.950282740449447
"4",0.03,0.956614323774646,0.956155678756615,0.93243259603408,0.941649062276025,0.956295242726063,0.9658281594031,0.950135951776858,0.934807627500627,0.950983570259245,0.910888173519455,0.93201979373679,0.928603954095972,0.932377603776819,0.958261654293061,0.891045269121672,0.926953980070858
"5",0.04,0.942942669120546,0.942266408052791,0.911516253848275,0.923474035699839,0.942419619314839,0.954979563753629,0.934562115884826,0.914459710343144,0.935494343767713,0.883796282680781,0.910988523956334,0.906607979073518,0.911368852441025,0.944891555376189,0.858912130184549,0.904577336766442
"6",0.05,0.929642722739625,0.928721288755811,0.891342836455046,0.905892765726774,0.928873772870745,0.944386905208669,0.919476206626325,0.89476016551025,0.920407768412716,0.857898305513027,0.890710812985481,0.885441887709906,0.891075489733215,0.93178262630463,0.828629683923389,0.883105477196715
"7",0.06,0.916701301173355,0.915509735729689,0.87187904145119,0.888880776911181,0.915648249168397,0.934041695072499,0.904858245506607,0.875684737007712,0.905711248312511,0.833132634798824,0.871152952421108,0.865066301161687,0.871469094037536,0.918928985720576,0.800069515197236,0.862493680219315
"8",0.07,0.904105760209265,0.902621527461144,0.853093274968855,0.872414743072025,0.902733891658177,0.923935790045655,0.890689194496744,0.857210160221221,0.89139262294835,0.809441124191861,0.852282952860917,0.84544398154999,0.85252246742621,0.906324894793118,0.773113069087684,0.842699683214712
"9",0.08,0.891843970816518,0.890046792728149,0.83495555620931,0.856472428729525,0.89012183156839,0.914061376118315,0.876950907919146,0.839314119092473,0.877440151159451,0.786768883280181,0.834070448462088,0.826539704796605,0.834209580331893,0.893964753613959,0.747650844608004,0.823683537845272
"10",0.09,0.879904296218788,0.877775997778123,0.817437427626251,0.841032633694539,0.877803478348155,0.904410953289518,0.86362608693151,0.821975205215129,0.86384249575093,0.765064085223276,0.816486607117065,0.808320141485891,0.816505518804188,0.881843097686715,0.72358165719537,0.805407474651024
"11",0.1,0.868275570048547,0.865799933995726,0.800511870410521,0.82607514063429,0.865770510439007,0.894977321066896,0.850698236463528,0.805172878762296,0.850588708690566,0.744277786171771,0.79950404590184,0.790753745223502,0.79938643422681,0.869954594507352,0.700811963939207,0.787835775924007
"12",0.11,0.856947075529625,0.85410970604101,0.784153224950211,0.811580665448139,0.854014866363641,0.885753564704231,0.838151624469099,0.788887431161334,0.8376682168712,0.724363755729233,0.783096751473912,0.77381064799893,0.782829495377931,0.85829404023334,0.679255246042272,0.77093465633917
"13",0.12,0.845908525637646,0.842696720439467,0.768337115960755,0.797530810296731,0.842528736120636,0.876733042136579,0.825971243364647,0.7730999494357,0.825070808416523,0.705278317763063,0.767240005117461,0.757462562092364,0.766812842721943,0.846856356439174,0.658831443504977,0.754672150853435
"14",0.13,0.835150044190455,0.831552674606227,0.75304038199898,0.783908019136773,0.831304552874388,0.867909371575042,0.814142773531598,0.757792282137339,0.812786619508898,0.686980200915769,0.751910312152394,0.741682688097501,0.751315544826271,0.835636586955998,0.639466437472239,0.739018009416011
"15",0.14,0.824662147823092,0.820669546287413,0.738241009093124,0.770695535622213,0.820334984929892,0.859276419725413,0.802652548768061,0.742947006796688,0.800806121718712,0.669430398209387,0.737085335441701,0.726445628660964,0.736317556802057,0.82462989479311,0.621091576089996,0.723943598062453
"16",0.15,0.814435728804128,0.810039583402281,0.723918068237749,0.757877363240544,0.809612927982352,0.85082829059698,0.791487523581362,0.728547398820795,0.789120109815586,0.652592035174599,0.722743832748312,0.711727307565945,0.721799680672418,0.81383155913917,0.603643240089278,0.709421805992439
"17",0.16,0.804462038652376,0.799655294270504,0.710051656518277,0.745438227560482,0.799131497631973,0.842559314869686,0.780635242219237,0.714577401773267,0.777719690042552,0.636430245972339,0.708865597708217,0.697504893812803,0.70774352757665,0.803236972441041,0.587062444652695,0.695426958256905
"18",0.17,0.794732672515048,0.789509438209494,0.696622841644683,0.733363540474286,0.788884022154636,0.834464039789663,0.770083809343389,0.701021598972895,0.766596268835059,0.620912057009613,0.695431404201239,0.683756730372734,0.694131481723191,0.792841637558183,0.571294474424632,0.681934733704183
"19",0.18,0.785239554270357,0.779595016487352,0.683613609687704,0.721639366324721,0.77886403551948,0.826537219564838,0.759821862254548,0.687865186350739,0.755741541967423,0.606006277582969,0.682422953914517,0.670462267312365,0.680946666008359,0.782641164990638,0.556288548805076,0.668922087857242
"20",0.19,0.775974922319458,0.769905263617541,0.671006815823873,0.710252389812827,0.769065270644741,0.818773806233932,0.749838544583406,0.675093946508232,0.745147484109981,0.591683397112702,0.669822826906557,0.657601999007394,0.6681729092219,0.772631270178642,0.541997514920387,0.656367180415051
"21",0.2,0.766931316034343,0.760433638981958,0.658786137907821,0.699189885588669,0.759481652883505,0.811168940983659,0.740123481366641,0.662694223921613,0.734806338780933,0.577915488558659,0.657614434991677,0.645157405182251,0.655794714764199,0.762807770872003,0.528377565894829,0.644249307090751
"22",0.21,0.758101562829995,0.751173818769628,0.646936032701604,0.688439689432705,0.750107293731328,0.803717945890359,0.730666755431834,0.650652901240449,0.724710608677462,0.564676117634451,0.645781977775881,0.633110895530319,0.643797230803616,0.753166584567386,0.515387982256392,0.632548835517592
"23",0.22,0.749478765830688,0.742119688218722,0.635441694601441,0.6779901709407,0.740936484747965,0.79641631606364,0.72145888501943,0.63895737663053,0.714853046371337,0.551940257461155,0.634310401185694,0.621445757685626,0.632166221805877,0.743703726011733,0.502990894501201,0.621247144970758
