"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",0.349383005366567,0.134188735154854,2.60366866833777,0.0199527321485154
"2","df4.sub$sd_mode",0.0303241691238355,0.0604632525895215,0.501530563195186,0.623278260082784
