"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",0,0,NA,NA
"2","(Intercept)",0.60429424201585,0.0610695428600563,9.89518201242505,5.73893849704079e-08
"3","dd$mode_age",0.0365343247548782,0.0100557706466066,3.63317005118916,0.00245302596182891
"4","(Intercept)",0.796048756269193,0.0722457068070345,11.0186306072887,1.37461934385506e-08
"5","dd$mode_age",0.024516629884118,0.0118960487311703,2.06090530041953,0.0570924373516869
"6","(Intercept)",0.92569727877449,0.0814435850693111,11.36611653314,9.04261788485224e-09
"7","dd$mode_age",0.0151819246041322,0.0134105803603461,1.1320855769243,0.275372138870247
"8","(Intercept)",0.996873463516504,0.0869499093761034,11.4649166476357,8.04255103915529e-09
"9","dd$mode_age",0.00974363145267623,0.0143172571052797,0.680551545664644,0.506525003786757
