"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17"
"1" 5.7299850285354e-06 0.000204830168154187 0.00312507792175664 0.0333507615954832 0.267443336345988 1.24410443075225 2.55053341704915 3.30155931062701 3.74530807331436 4.07324739905559 4.33527121701856 4.54707390718636 4.71769888789013 4.8544244153 4.96347758909239 5.0501375398802 5.11880370184306
"2" 0.826959133943362 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3" 0 0.826959133943362 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"4" 0 0 0.826959133943362 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5" 0 0 0 0.826959133943362 0 0 0 0 0 0 0 0 0 0 0 0 0
"6" 0 0 0 0 0.826959133943362 0 0 0 0 0 0 0 0 0 0 0 0
"7" 0 0 0 0 0 0.826959133943362 0 0 0 0 0 0 0 0 0 0 0
"8" 0 0 0 0 0 0 0.826959133943362 0 0 0 0 0 0 0 0 0 0
"9" 0 0 0 0 0 0 0 0.826959133943362 0 0 0 0 0 0 0 0 0
"10" 0 0 0 0 0 0 0 0 0.826959133943362 0 0 0 0 0 0 0 0
"11" 0 0 0 0 0 0 0 0 0 0.826959133943362 0 0 0 0 0 0 0
"12" 0 0 0 0 0 0 0 0 0 0 0.826959133943362 0 0 0 0 0 0
"13" 0 0 0 0 0 0 0 0 0 0 0 0.826959133943362 0 0 0 0 0
"14" 0 0 0 0 0 0 0 0 0 0 0 0 0.826959133943362 0 0 0 0
"15" 0 0 0 0 0 0 0 0 0 0 0 0 0 0.826959133943362 0 0 0
"16" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.826959133943362 0 0
"17" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.826959133943362 0
