"V1" "V2" "V3" "V4" "V5"
"1" 0 0.00168678160465882 0.00421695401164706 0.0674712641863529 0.00843390802329412
"2" 0 0.0266957646626718 0.0667394116566796 1.06783058650687 0.133478823313359
"3" 0 0.0670862248588708 0.167715562147177 2.68344899435483 0.335431124294354
"4" 0 0.0728601222843148 0.182150305710787 2.91440489137259 0.364300611421574
"5" 0 0.0602089650252912 0.150522412563228 2.40835860101165 0.301044825126456
"6" 0 0.0438413986323141 0.109603496580785 1.75365594529256 0.21920699316157
"7" 0 0.0294921711134055 0.0737304277835137 1.17968684453622 0.147460855567027
"8" 0 0.0187672485131454 0.0469181212828635 0.750689940525816 0.093836242565727
"9" 0 0.0114634081661796 0.0286585204154489 0.458536326647182 0.0573170408308978
"10" 0 0.00678775161911265 0.0169693790477816 0.271510064764506 0.0339387580955633
