"V1" "V2" "V3" "V4" "V5"
"1" 0 7.79869789969784e-06 1.94967447492446e-05 0.000311947915987914 3.89934894984892e-05
"2" 0 8.82431445817329e-05 0.000220607861454332 0.00352972578326932 0.000441215722908665
"3" 0 0.000421033984997221 0.00105258496249305 0.0168413593998888 0.00210516992498611
"4" 0 0.00140296399116667 0.00350740997791668 0.0561185596466669 0.00701481995583336
"5" 0 0.00378295964532965 0.00945739911332414 0.151318385813186 0.0189147982266483
"6" 0 0.00861841693161147 0.0215460423290287 0.344736677264459 0.0430920846580573
"7" 0 0.0163395008757361 0.0408487521893401 0.653580035029442 0.0816975043786803
"8" 0 0.0245891908004728 0.0614729770011819 0.983567632018911 0.122945954002364
"9" 0 0.0287257481130251 0.0718143702825629 1.14902992452101 0.143628740565126
"10" 0 0.0272615751795824 0.068153937948956 1.0904630071833 0.136307875897912
"11" 0 0.0226980700795786 0.0567451751989466 0.907922803183145 0.113490350397893
"12" 0 0.0175862180212816 0.043965545053204 0.703448720851265 0.0879310901064081
