"V1" "V2" "V3" "V4" "V5"
"1" 0 1.51667579587431e-06 3.79168948968578e-06 6.06670318349724e-05 7.58337897937155e-06
"2" 0 3.96010447950461e-05 9.90026119876153e-05 0.00158404179180185 0.000198005223975231
"3" 0 0.000435949515115601 0.001089873787789 0.017437980604624 0.00217974757557801
"4" 0 0.00331076619178122 0.00827691547945305 0.132430647671249 0.0165538309589061
"5" 0 0.0187777602511557 0.0469444006278892 0.751110410046228 0.0938888012557784
"6" 0 0.0660456426502059 0.165114106625515 2.64182570600824 0.33022821325103
"7" 0 0.115918736641878 0.289796841604694 4.6367494656751 0.579593683209388
"8" 0 0.128997587739447 0.322493969348618 5.15990350957789 0.644987938697237
"9" 0 0.121944530650445 0.304861326626112 4.87778122601779 0.609722653252224
"10" 0 0.108620551109015 0.271551377772537 4.3448220443606 0.543102755545075
"11" 0 0.093721431640999 0.234303579102497 3.74885726563996 0.468607158204995
"12" 0 0.079062022544821 0.197655056362053 3.16248090179284 0.395310112724105
