"V1" "V2" "V3" "V4" "V5"
"1" 0 0.00325079088343974 0.00812697720859935 0.13003163533759 0.0162539544171987
"2" 0 0.042990052305612 0.10747513076403 1.71960209222448 0.21495026152806
"3" 0 0.0909197296905749 0.227299324226437 3.636789187623 0.454598648452875
"4" 0 0.0667943531284786 0.166985882821196 2.67177412513914 0.333971765642393
"5" 0 0.0361387339421285 0.0903468348553213 1.44554935768514 0.180693669710643
"6" 0 0.0175606633215802 0.0439016583039506 0.702426532863209 0.0878033166079012
"7" 0 0.00806229524557599 0.02015573811394 0.32249180982304 0.0403114762278799
"8" 0 0.00357463726694801 0.00893659316737001 0.14298549067792 0.01787318633474
"9" 0 0.00154974807576513 0.00387437018941281 0.061989923030605 0.00774874037882563
"10" 0 0.000662061165534056 0.00165515291383514 0.0264824466213623 0.00331030582767028
