"V1" "V2" "V3" "V4" "V5"
"1" 0 0.00111830062336343 0.00279575155840856 0.044732024934537 0.00559150311681713
"2" 0 0.0147311992337456 0.036827998084364 0.589247969349823 0.0736559961687279
"3" 0 0.0475781101661192 0.118945275415298 1.90312440664477 0.237890550830596
"4" 0 0.0646462487719824 0.161615621929956 2.5858499508793 0.323231243859912
"5" 0 0.0593545031855021 0.148386257963755 2.37418012742008 0.29677251592751
"6" 0 0.0461001005058639 0.11525025126466 1.84400402023456 0.230500502529319
"7" 0 0.0326911238597181 0.0817278096492953 1.30764495438873 0.163455619298591
"8" 0 0.0218225989324048 0.054556497331012 0.872903957296192 0.109112994662024
"9" 0 0.0139362175865771 0.0348405439664427 0.557448703463083 0.0696810879328854
"10" 0 0.00860192602430696 0.0215048150607674 0.344077040972279 0.0430096301215348
"11" 0 0.00516841797174307 0.0129210449293577 0.206736718869723 0.0258420898587153
