"V1" "V2" "V3" "V4" "V5"
"1" 0 0.000588289819493923 0.00147072454873481 0.0235315927797569 0.00294144909746962
"2" 0 0.00854798514488309 0.0213699628622077 0.341919405795324 0.0427399257244155
"3" 0 0.0363347635662211 0.0908369089155528 1.45339054264884 0.181673817831106
"4" 0 0.0599697986181583 0.149924496545396 2.39879194472633 0.299848993090791
"5" 0 0.0567799025793108 0.141949756448277 2.27119610317243 0.283899512896554
"6" 0 0.0429733508981176 0.107433377245294 1.7189340359247 0.214866754490588
"7" 0 0.0294298325896573 0.0735745814741433 1.17719330358629 0.147149162948287
"8" 0 0.019011966217816 0.04752991554454 0.76047864871264 0.09505983108908
"9" 0 0.0117989465942417 0.0294973664856042 0.471957863769667 0.0589947329712084
"10" 0 0.00710886543973539 0.0177721635993385 0.284354617589415 0.0355443271986769
