"V1" "V2" "V3" "V4" "V5"
"1" 0 3.57252857331571e-05 8.93132143328928e-05 0.00142901142932628 0.000178626428665786
"2" 0 0.000397091014546782 0.000992727536366955 0.0158836405818713 0.00198545507273391
"3" 0 0.00180681640081861 0.00451704100204652 0.0722726560327443 0.00903408200409304
"4" 0 0.00530150363415439 0.013253759085386 0.212060145366175 0.0265075181707719
"5" 0 0.0106025937474384 0.0265064843685961 0.424103749897537 0.0530129687371922
"6" 0 0.014122096632125 0.0353052415803124 0.564883865284999 0.0706104831606249
"7" 0 0.0134096372709102 0.0335240931772756 0.536385490836409 0.0670481863545511
"8" 0 0.0103992365467535 0.0259980913668837 0.415969461870139 0.0519961827337674
"9" 0 0.00727095134177598 0.0181773783544399 0.290838053671039 0.0363547567088799
"10" 0 0.00480871453415593 0.0120217863353898 0.192348581366237 0.0240435726707796
