"V1" "V2" "V3" "V4" "V5"
"1" 0 0.000935711307185297 0.00233927826796324 0.0374284522874119 0.00467855653592649
"2" 0 0.00641064057142827 0.0160266014285707 0.256425622857131 0.0320532028571413
"3" 0 0.0160236542834172 0.040059135708543 0.640946171336687 0.0801182714170859
"4" 0 0.0237359709998544 0.0593399274996359 0.949438839994175 0.118679854999272
"5" 0 0.0251361747161149 0.0628404367902873 1.0054469886446 0.125680873580575
"6" 0 0.0215641482251414 0.0539103705628536 0.862565929005657 0.107820741125707
"7" 0 0.0162752227824627 0.0406880569561568 0.651008911298508 0.0813761139123135
"8" 0 0.0113439423200048 0.0283598558000121 0.453757692800193 0.0567197116000241
"9" 0 0.00750405023379449 0.0187601255844862 0.30016200935178 0.0375202511689724
"10" 0 0.00478557342279151 0.0119639335569788 0.19142293691166 0.0239278671139575
"11" 0 0.002970509896685 0.00742627474171251 0.1188203958674 0.014852549483425
