"","x"
"1",0.689655172413793
"2",2.56410256410256
"3",1.40845070422535
"4",0.684931506849315
"5",0.909090917355372
"6",0.72463768115942
"7",1.11111111111111
"8",1.31578947368421
"9",1.75438596491228
"10",0.125
"11",0.584795321637427
"12",0.617283950617284
"13",0.192307692307692
"14",0.625
"15",0.123456790123457
"16",0.4
