"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16"
"1" 0.000173099378765584 0.000173099378765584 0.000173099378765584 0.000173099378765584 0.000173099378765584 0.000173099378765584 0.000173099378765584 0.000173099378765584 0.000173099378765584 0.000173099378765584 0.000173099378765584 0.000173099378765584 0.000173099378765584 0.000173099378765584 0.000173099378765584 0.000173099378765584
"2" 0.0020164211969301 0.0020131048666529 0.00200979399061636 0.00200648855985013 0.00200318856539855 0.00199989399832075 0.00199660484969053 0.00199332111059638 0.00199004277214143 0.00198676982544347 0.00198350226163488 0.00198024007186263 0.00197698324728826 0.00197373177908782 0.00197048565845189 0.00196724487658555
"3" 0.00958007445994402 0.00951523109681441 0.00945082663024656 0.00938685808954029 0.00932332252410276 0.00926021700331243 0.00919753861638387 0.00913528447223348 0.00907345169934616 0.00901203744564284 0.00895103887834894 0.0088904531838637 0.0088302775676304 0.00877050925400745 0.0087111454861404 0.00865218352583471
"4" 0.0289636411768358 0.0283250303194174 0.0277005000061102 0.0270897397791134 0.0264924460258191 0.0259083218278854 0.0253370768136359 0.0247784270137146 0.0242320947199227 0.0236978083471682 0.0231753022984597 0.0226643168328758 0.0221645979364471 0.0216758971958838 0.0211979716750882 0.0207305837943895
"5" 0.0579358830487647 0.0543173323368834 0.0509247885237566 0.0477441357043297 0.0447621396226329 0.0419663926058752 0.0393452619378354 0.0368878414567413 0.0345839061762398 0.0324238697406454 0.0303987445374409 0.0285001043010667 0.0267200490523962 0.0250511722280166 0.0234865298625442 0.022019611695746
"6" 0.074971099795136 0.0641138875420709 0.0548290019352764 0.0468887407778211 0.0400983773938658 0.0342913851587464 0.0293253536060884 0.025078495958708 0.0214466624341184 0.0183407860790516 0.0156846984947363 0.0134132618858561 0.0114707716236266 0.00980959014750488 0.00838897870338749 0.00717409826788625
"7" 0.0690621064663431 0.0510345413628859 0.037712785569166 0.0278684623669452 0.0205938432543904 0.0152181478261045 0.0112456922390043 0.00831018303800858 0.00614094185199935 0.00453794659602036 0.00335338777090492 0.00247803919771033 0.00183118645528185 0.00135318433909603 0.000999957077168808 0.000738934177177932
"8" 0.052639551484513 0.0325169074386887 0.0200865934370153 0.0124080445431258 0.00766479243316979 0.00473475436354109 0.0029247887765436 0.00180672295341583 0.00111606275864378 0.000689422846417383 0.000425875567911457 0.000263075121873902 0.000162508781821825 0.000100386170995948 6.20113154147976e-05 3.83061053262878e-05
"9" 0.0365267383347731 0.0186039471202294 0.009475438110027 0.00482606872599221 0.00245803297721436 0.00125193536605327 0.000637640819022358 0.000324765818674224 0.00016541104934413 8.42478292722432e-05 4.29094474959687e-05 2.18548145431672e-05 1.11311831447167e-05 5.66937952991979e-06 2.88755147017137e-06 1.47069947405811e-06
"10" 0.0240855546887588 0.0100664433648881 0.00420722226778501 0.0017583885955477 0.000734910174969202 0.000307152222575145 0.00012837281486381 5.36528092093693e-05 2.24239371794636e-05 9.37197820651526e-06 3.91697384810004e-06 1.63708064494149e-06 6.8421009227366e-07 2.85962363439868e-07 1.19516613723681e-07 4.99514019402741e-08
