"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17"
"1" 5.7261170807385e-06 0.000204857762982658 0.00312801992436665 0.0334078302287343 0.268031769226673 1.24615150713916 2.55193232073834 3.30194484233332 3.74539037796547 4.07326364372434 4.33527429947224 4.54707447648224 4.71769899088374 4.85442443363116 4.96347759231246 5.05013754043982 5.11880370193946
"2" 0.826871367782774 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3" 0 0.826406529493801 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"4" 0 0 0.823495231463266 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5" 0 0 0 0.80583567049873 0 0 0 0 0 0 0 0 0 0 0 0 0
"6" 0 0 0 0 0.716492489299399 0 0 0 0 0 0 0 0 0 0 0 0
"7" 0 0 0 0 0 0.494929143648057 0 0 0 0 0 0 0 0 0 0 0
"8" 0 0 0 0 0 0 0.34672198323927 0 0 0 0 0 0 0 0 0 0
"9" 0 0 0 0 0 0 0 0.311398022835379 0 0 0 0 0 0 0 0 0
"10" 0 0 0 0 0 0 0 0 0.305371602175333 0 0 0 0 0 0 0 0
"11" 0 0 0 0 0 0 0 0 0 0.304404100890449 0 0 0 0 0 0 0
"12" 0 0 0 0 0 0 0 0 0 0 0.304250285563353 0 0 0 0 0 0
"13" 0 0 0 0 0 0 0 0 0 0 0 0.304225869638415 0 0 0 0 0
"14" 0 0 0 0 0 0 0 0 0 0 0 0 0.304221994924072 0 0 0 0
"15" 0 0 0 0 0 0 0 0 0 0 0 0 0 0.30422138004571 0 0 0
"16" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.304221282471278 0 0
"17" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.304221266987304 0
